KSÍ	k s í
FH	f h
VG	v g
SÍBS	s í b s
FL	f l
BA	b a
ESB	e s b
EES	e e s
HÍ	h í
AB	a b
ASÍ	a s í
ÍBL í b l
TM	t m
BBC	b b c
EM	e m
CCP	c c p
ÍBV	í b v
SP	s p
MBA	m b a
DNA	d n a
IFS	i f s
KR	k r
SA	s a
EA	e a
PSP	p s p
HS	h s
CNN	 c n n
AGS	a g s
ABC	a b c
SMS	s m s
SMSið	s m s ið
SFR	s f r
HM	h m
HS	h s
VSÓ	v s ó
MP	m p
MP3	m p þrír
OR	orkuveita reykjavíkur
ÍTR	í t r
ÍAV	í a v
VE	v e
AMD	a m d
ÍA	í a
FME	f m e
KB	k b
VR	v r
NBA	 n b a
GK	g k
BSRB	b s r b
FM957	f m níu fimm sjö
HB	h b
EJS	e j s
HSK	h s k
GSM	g s m
OECD	o e c d
BSÍ	b s í

